iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,8,0.10236195474863052
1000,-0.89,2.11,9,0.02510254457592964
1500,-0.5,2.0,10,0.008232077583670616
2000,-0.6,2.0,10,0.004696361254900694
2500,0.0,2.12,8,0.0012767843436449766
3000,-0.5,2.0,10,0.000935532443691045
3500,-0.12,2.25,8,0.000378619646653533
4000,-0.44,2.22,9,0.0005226632347330451
4500,0.0,2.25,8,0.0002895108191296458
5000,-0.33,2.0,9,0.00037594983587041497
5500,-0.4,2.0,10,0.0005210154340602458
6000,-0.12,2.0,8,0.0027870605699718
6500,-0.25,2.0,8,0.0014026545686647296
7000,-0.5,2.0,10,0.0007414160063490272
7500,-0.56,2.0,9,0.0002292266144650057
8000,-0.25,2.0,8,0.0005832330789417028
8500,-0.25,2.0,8,0.002000425010919571
9000,-0.12,2.0,8,0.00018850692140404135
9500,-0.12,2.0,8,0.0001868507533799857
10000,-0.33,2.0,9,0.0003119008324574679
10500,-0.12,2.0,8,0.0036555177066475153
11000,-0.11,2.11,9,0.005970739759504795
11500,-0.12,2.12,8,0.00017927581211552024
12000,-1.0,2.0,8,0.00030572619289159775
12500,-0.12,2.0,8,0.00034111790591850877
13000,-0.12,2.0,8,0.00044851447455585003
13500,-0.3,2.1,10,0.0006699266959913075
14000,-0.33,2.0,9,0.0006285030394792557
14500,-0.25,2.0,8,0.00021121930330991745
15000,0.0,2.0,8,0.0002152157248929143
15500,-0.12,2.12,8,0.00021274093887768686
16000,-0.4,2.0,10,0.00023153566871769726
16500,0.0,2.12,8,0.00019725236052181572
17000,-0.54,2.0,13,0.00022027290833648294
17500,-0.36,2.18,11,0.00017343764193356037
18000,-0.12,2.12,8,0.00025234997156076133
18500,-0.12,2.0,8,0.0005057301605120301
19000,0.12,2.12,8,0.00017606018809601665
19500,-0.55,2.0,11,0.0022570453584194183
20000,-0.56,2.0,9,0.0006363668944686651
20500,0.0,2.12,8,0.00012831296771764755
21000,-0.25,2.0,8,0.0002948861219920218
21500,-0.12,2.0,8,0.00027515014517121017
22000,-0.12,2.0,8,0.0008973556105047464
22500,-0.12,2.0,8,0.0006412696093320847
23000,-0.25,2.12,8,0.00046196201583370566
23500,-0.25,2.0,8,0.0003427876508794725
24000,0.0,2.12,8,0.0008711031405255198
24500,-0.22,2.11,9,0.0002417324431007728
25000,0.0,2.12,8,0.0011548432521522045
25500,-0.12,2.0,8,7.985479896888137e-05
26000,0.12,2.12,8,0.0005061617703177035
26500,-0.12,2.0,8,0.00017178268171846867
27000,-0.22,2.22,9,0.0002764055097941309
27500,-0.25,2.0,8,0.0006666048429906368
28000,-0.12,2.0,8,0.0008822885574772954
28500,-0.12,2.12,8,0.0038277613930404186
29000,-0.44,2.0,9,0.00023652019444853067
29500,-0.44,2.11,9,0.0009611219284124672
30000,-0.33,2.0,9,7.643582648597658e-05
30500,-0.12,2.0,8,0.0003977320156991482
31000,0.0,2.0,8,0.00014292614650912583
31500,-0.33,2.0,9,8.848588913679123e-05
32000,-0.12,2.0,8,0.006339218933135271
